utc_iso,board_timestamp,sample_index,label,trial_id,phase,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
2026-06-14T08:31:02.215549+00:00,1781425862.131821,164,Rest,trial_20260614_142816_r05_rest,rest,20249.51818579652,3743.2913474191846,-41743.62620635345,-56208.33411316087,-15032.866899116863,-49332.781056497224,-33900.48848396403,-60606.39746265382,20289.483104882613,3784.396205472494,-42479.78090998899,-56586.995015978224,-15103.431356362267,-49310.71988471984,-33983.860490782325,-60579.575369307444
2026-06-14T08:31:02.215549+00:00,1781425862.131836,166,Rest,trial_20260614_142816_r05_rest,rest,19741.306572116206,3231.4811028815634,-41105.7521230879,-56378.743812888126,-15444.67543896144,-49866.25014141204,-34335.52048629767,-61129.24946895236,19837.30731455175,3329.806426740459,-40704.225385692764,-56064.74650677997,-15298.763251157196,-49766.293140207905,-34178.343019287946,-61034.478072461854
2026-06-14T08:31:02.215549+00:00,1781425862.131848,168,Rest,trial_20260614_142816_r05_rest,rest,20284.744535058086,3773.2873884782066,-42476.80812797644,-56583.53049558765,-15094.736527769153,-49305.64603872848,-33979.70306631363,-60577.51900881756,19967.28270855936,3456.4290590797737,-41896.0874552831,-56569.67241402536,-15322.32198981309,-49631.13214148666,-34212.98822319367,-60896.36664347252
2026-06-14T08:31:02.215549+00:00,1781425862.131860,170,Rest,trial_20260614_142816_r05_rest,rest,19819.470622476416,3306.5382607624842,-40676.53157431264,-56061.57255906732,-15299.031472090659,-49774.49623042301,-34178.208908821216,-61038.479034719356,20237.560002512935,3725.007620454743,-41722.23558690972,-56198.94638048964,-15029.715303148665,-49340.78298101223,-33898.02979207394,-60612.164212723284
2026-06-14T08:31:02.215549+00:00,1781425862.131872,172,Rest,trial_20260614_142816_r05_rest,rest,19986.549912279836,3471.315320887008,-41907.68801065541,-56564.084477911536,-15311.190821074346,-49621.49853962643,-34200.60535676543,-60882.441506676856,19749.107330931107,3235.9961552615355,-41137.42454498107,-56384.66702516878,-15433.521918478242,-49856.72829827408,-34324.32226232556,-61114.273800167306
2026-06-14T08:31:02.215549+00:00,1781425862.131886,174,Rest,trial_20260614_142816_r05_rest,rest,20247.461825306633,3730.863777502034,-41701.292002355105,-56190.69858678563,-15030.385855482324,-49340.29124263421,-33895.19112052812,-60606.41981439827,20309.823192336942,3794.052159077187,-42460.20078184614,-56568.17484714685,-15080.096135150927,-49291.676198443914,-33961.32993237137,-60557.357735318874
2026-06-14T08:31:02.215549+00:00,1781425862.131899,176,Rest,trial_20260614_142816_r05_rest,rest,19762.20545318192,3246.4344199221637,-41103.829873064744,-56368.01497554958,-15435.980610368326,-49854.13549591726,-34326.490381537726,-61109.088195453674,19844.281058821805,3328.1076941618558,-40676.46451907927,-56050.03905892838,-15290.135477797447,-49757.57595987034,-34168.15062381633,-61017.89307807602
2026-06-14T08:31:02.215549+00:00,1781425862.131912,178,Rest,trial_20260614_142816_r05_rest,rest,20318.182744763228,3801.6294004475358,-42472.091909896364,-56567.3031291131,-15084.097097408427,-49289.32926527611,-33963.5651068169,-60552.59681374989,19994.4177263281,3479.741928546659,-41878.3848736745,-56549.33232657103,-15315.437652520855,-49620.91739427059,-34203.46638005571,-60879.222855475295
2026-06-14T08:31:02.215549+00:00,1781425862.131924,180,Rest,trial_20260614_142816_r05_rest,rest,19831.27234354882,3310.449816042163,-40651.587027500515,-56054.06237293033,-15302.943027370338,-49775.591465901314,-34182.3663332899,-61034.0533893172,20252.267450364525,3732.8083792696452,-41676.2356968207,-56182.96488320409,-15033.179823539236,-49340.85003624559,-33898.29801300741,-60607.693863832224
2026-06-14T08:31:02.215549+00:00,1781425862.131937,182,Rest,trial_20260614_142816_r05_rest,rest,20002.374947354194,3482.5358966035724,-41919.66854568345,-56562.8998354554,-15298.562085457097,-49607.327533641765,-34196.42558055229,-60870.8185995601,19767.30165091773,3246.5461786444403,-41131.322518744775,-56382.722423401174,-15426.503470719275,-49848.94989120363,-34323.58465475853,-61104.90841924053
2026-06-14T08:31:02.215549+00:00,1781425862.131950,184,Rest,trial_20260614_142816_r05_rest,rest,20226.04885411845,3704.4216638114053,-41667.63027520541,-56195.928894988174,-15038.45483523069,-49361.07836497764,-33914.994766115524,-60633.063093788995,20312.5948086494,3791.36994974255,-42464.04528189245,-56569.940634958824,-15072.429486802755,-49288.27873328671,-33963.07336843888,-60559.05646789748
